Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16901,,Morocco,2020-01-22,0.0,0.0
16902,,Morocco,2020-01-23,0.0,0.0
16903,,Morocco,2020-01-24,0.0,0.0
16904,,Morocco,2020-01-25,0.0,0.0
16905,,Morocco,2020-01-26,0.0,0.0
16906,,Morocco,2020-01-27,0.0,0.0
16907,,Morocco,2020-01-28,0.0,0.0
16908,,Morocco,2020-01-29,0.0,0.0
16909,,Morocco,2020-01-30,0.0,0.0
16910,,Morocco,2020-01-31,0.0,0.0
16911,,Morocco,2020-02-01,0.0,0.0
16912,,Morocco,2020-02-02,0.0,0.0
16913,,Morocco,2020-02-03,0.0,0.0
16914,,Morocco,2020-02-04,0.0,0.0
16915,,Morocco,2020-02-05,0.0,0.0
16916,,Morocco,2020-02-06,0.0,0.0
16917,,Morocco,2020-02-07,0.0,0.0
16918,,Morocco,2020-02-08,0.0,0.0
16919,,Morocco,2020-02-09,0.0,0.0
16920,,Morocco,2020-02-10,0.0,0.0
16921,,Morocco,2020-02-11,0.0,0.0
16922,,Morocco,2020-02-12,0.0,0.0
16923,,Morocco,2020-02-13,0.0,0.0
16924,,Morocco,2020-02-14,0.0,0.0
16925,,Morocco,2020-02-15,0.0,0.0
16926,,Morocco,2020-02-16,0.0,0.0
16927,,Morocco,2020-02-17,0.0,0.0
16928,,Morocco,2020-02-18,0.0,0.0
16929,,Morocco,2020-02-19,0.0,0.0
16930,,Morocco,2020-02-20,0.0,0.0
16931,,Morocco,2020-02-21,0.0,0.0
16932,,Morocco,2020-02-22,0.0,0.0
16933,,Morocco,2020-02-23,0.0,0.0
16934,,Morocco,2020-02-24,0.0,0.0
16935,,Morocco,2020-02-25,0.0,0.0
16936,,Morocco,2020-02-26,0.0,0.0
16937,,Morocco,2020-02-27,0.0,0.0
16938,,Morocco,2020-02-28,0.0,0.0
16939,,Morocco,2020-02-29,0.0,0.0
16940,,Morocco,2020-03-01,0.0,0.0
16941,,Morocco,2020-03-02,1.0,0.0
16942,,Morocco,2020-03-03,1.0,0.0
16943,,Morocco,2020-03-04,1.0,0.0
16944,,Morocco,2020-03-05,2.0,0.0
16945,,Morocco,2020-03-06,2.0,0.0
16946,,Morocco,2020-03-07,2.0,0.0
16947,,Morocco,2020-03-08,2.0,0.0
16948,,Morocco,2020-03-09,2.0,0.0
16949,,Morocco,2020-03-10,3.0,1.0
16950,,Morocco,2020-03-11,5.0,1.0
16951,,Morocco,2020-03-12,6.0,1.0
16952,,Morocco,2020-03-13,7.0,1.0
16953,,Morocco,2020-03-14,17.0,1.0
16954,,Morocco,2020-03-15,28.0,1.0
16955,,Morocco,2020-03-16,29.0,1.0
16956,,Morocco,2020-03-17,38.0,2.0
16957,,Morocco,2020-03-18,49.0,2.0
16958,,Morocco,2020-03-19,63.0,2.0
16959,,Morocco,2020-03-20,77.0,3.0
16960,,Morocco,2020-03-21,96.0,3.0
16961,,Morocco,2020-03-22,115.0,4.0
16962,,Morocco,2020-03-23,143.0,4.0
16963,,Morocco,2020-03-24,170.0,5.0
16964,,Morocco,2020-03-25,225.0,6.0
16965,,Morocco,2020-03-26,275.0,11.0
16966,,Morocco,2020-03-27,345.0,23.0
16967,,Morocco,2020-03-28,402.0,25.0
16968,,Morocco,2020-03-29,479.0,26.0
16969,,Morocco,2020-03-30,556.0,33.0
16970,,Morocco,2020-03-31,617.0,36.0
16971,,Morocco,2020-04-01,654.0,39.0
16972,,Morocco,2020-04-02,708.0,44.0
16973,,Morocco,2020-04-03,791.0,48.0
16974,,Morocco,2020-04-04,919.0,59.0
16975,,Morocco,2020-04-05,1021.0,70.0
16976,,Morocco,2020-04-06,1120.0,80.0
16977,,Morocco,2020-04-07,1184.0,90.0
16978,,Morocco,2020-04-08,1275.0,93.0
16979,,Morocco,2020-04-09,1374.0,97.0
16980,,Morocco,2020-04-10,1448.0,107.0
16981,,Morocco,2020-04-11,1545.0,111.0
16982,,Morocco,2020-04-12,1661.0,118.0
16983,,Morocco,2020-04-13,1763.0,126.0
16984,,Morocco,2020-04-14,1888.0,126.0
16985,,Morocco,2020-04-15,2024.0,127.0
16986,,Morocco,2020-04-16,2283.0,130.0
16987,,Morocco,2020-04-17,2564.0,135.0
16988,,Morocco,2020-04-18,2685.0,137.0
16989,,Morocco,2020-04-19,2855.0,141.0
16990,,Morocco,2020-04-20,3046.0,143.0
16991,,Morocco,2020-04-21,3209.0,145.0
16992,,Morocco,2020-04-22,3446.0,149.0
16993,,Morocco,2020-04-23,3568.0,155.0
16994,,Morocco,2020-04-24,3758.0,158.0
16995,,Morocco,2020-04-25,3897.0,159.0
16996,,Morocco,2020-04-26,4065.0,161.0
16997,,Morocco,2020-04-27,4120.0,162.0
16998,,Morocco,2020-04-28,4252.0,165.0
16999,,Morocco,2020-04-29,4289.0,168.0
17000,,Morocco,2020-04-30,4423.0,170.0
17001,,Morocco,2020-05-01,4569.0,171.0
17002,,Morocco,2020-05-02,4729.0,173.0
17003,,Morocco,2020-05-03,4903.0,174.0
17004,,Morocco,2020-05-04,5053.0,179.0
17005,,Morocco,2020-05-05,5219.0,181.0
17006,,Morocco,2020-05-06,5408.0,183.0
17007,,Morocco,2020-05-07,5548.0,183.0
17008,,Morocco,2020-05-08,5711.0,186.0
17009,,Morocco,2020-05-09,5910.0,186.0
17010,,Morocco,2020-05-10,6063.0,188.0
17011,,Morocco,2020-05-11,6281.0,188.0
17012,,Morocco,2020-05-12,6418.0,188.0
17013,,Morocco,2020-05-13,6512.0,188.0
17014,,Morocco,2020-05-14,6607.0,190.0
17015,,Morocco,2020-05-15,6652.0,190.0
17016,,Morocco,2020-05-16,6741.0,192.0
17017,,Morocco,2020-05-17,6870.0,192.0
17018,,Morocco,2020-05-18,6952.0,192.0
17019,,Morocco,2020-05-19,7023.0,193.0
17020,,Morocco,2020-05-20,7133.0,194.0
17021,,Morocco,2020-05-21,7211.0,196.0
17022,,Morocco,2020-05-22,7332.0,197.0
17023,,Morocco,2020-05-23,7406.0,198.0
17024,,Morocco,2020-05-24,7433.0,199.0
17025,,Morocco,2020-05-25,7532.0,200.0
17026,,Morocco,2020-05-26,7577.0,202.0
17027,,Morocco,2020-05-27,7601.0,202.0
17028,,Morocco,2020-05-28,7643.0,202.0
17029,,Morocco,2020-05-29,7714.0,202.0
17030,,Morocco,2020-05-30,7780.0,204.0
17031,,Morocco,2020-05-31,7783.0,204.0
